name,slug,year,sport_slug,manufacturer_slug,box_format,series,parent_slug,packs_per_box,cards_per_pack,total_cards_per_box,msrp,current_market_price,release_date,is_active,is_featured,image_url,notes,_needs_review,_source_notes
2023 Topps Chrome Baseball Hobby,2023-topps-chrome-baseball-hobby,2023,baseball,topps,Hobby,Chrome,,24,4,96,129.99,,2023-07-26,True,True,https://cdn.shopify.com/s/files/1/0662/9749/5709/files/b4919d4bfc6a19370b7af14a9e3e62d161b13060_blob.png?v=1772612167,,MSRP inferred from 2023 Topps Chrome Update,Cardboard Connection + Baseballcardpedia
2023 Topps Chrome Baseball Jumbo,2023-topps-chrome-baseball-jumbo,2023,baseball,topps,Jumbo,Chrome,2023-topps-chrome-baseball-hobby,12,12,144,349.99,,2023-07-26,True,False,https://cdn.shopify.com/s/files/1/0662/9749/5709/files/b4919d4bfc6a19370b7af14a9e3e62d161b13060_blob.png?v=1772612167,,MSRP inferred from 2023 Topps Chrome Update,Cardboard Connection + Baseballcardpedia
2023 Topps Chrome Baseball Blaster,2023-topps-chrome-baseball-blaster,2023,baseball,topps,Blaster,Chrome,2023-topps-chrome-baseball-hobby,8,4,32,34.99,,2023-07-26,True,False,https://cdn.shopify.com/s/files/1/0662/9749/5709/files/b4919d4bfc6a19370b7af14a9e3e62d161b13060_blob.png?v=1772612167,,MSRP not found,Cardboard Connection + Baseballcardpedia
2023 Topps Chrome Baseball Breaker,2023-topps-chrome-baseball-breaker,2023,baseball,topps,Breaker,Chrome,2023-topps-chrome-baseball-hobby,,,,249.99,,2023-07-26,True,False,https://cdn.shopify.com/s/files/1/0662/9749/5709/files/b4919d4bfc6a19370b7af14a9e3e62d161b13060_blob.png?v=1772612167,,MSRP inferred from 2024 Update Breaker's Delight; packs/box unknown,Cardboard Connection + Baseballcardpedia
2023 Topps Chrome Baseball Mega Box,2023-topps-chrome-baseball-mega,2023,baseball,topps,Mega Box,Chrome,2023-topps-chrome-baseball-hobby,,,,54.99,,2023-07-26,True,False,https://cdn.shopify.com/s/files/1/0662/9749/5709/files/b4919d4bfc6a19370b7af14a9e3e62d161b13060_blob.png?v=1772612167,,MSRP not found; packs/box unknown,Cardboard Connection + Baseballcardpedia
